SNP1	SNP2	Zscore	ZP	glm_score
29	N2	M0P0	1.66399563826184	0.0961133010438088	0.095422354411951
30	N12	N15	1.6142721935959	0.106468398721462	0.111061281506762
31	N12	N16	1.59809566558202	0.110021688128866	0.103202918668224
32	N5	N12	1.5960517806387	0.110477233053319	0.101664126824608
33	N3	M0P1	1.58116993970598	0.113839186591892	0.128436185092561
34	N12	N20	-1.56932476578922	0.116572284462119	0.120589255722557
35	N7	N9	1.56144667393679	0.118418396628411	0.10656191616299
36	N1	N8	-1.52383532161058	0.127549853646355	0.112323937815176
37	N7	N17	-1.51417293717215	0.129981983641385	0.121579656059343
38	N5	N15	1.47948269820784	0.139011352164746	0.133028086935996
39	N11	N15	-1.46434520965297	0.14309965035755	0.144082095141229
40	N3	N7	1.45612775560699	0.145357306059473	0.150355264879868
41	N4	N10	1.41976568299936	0.155675908703239	0.145863196077671
42	N8	N9	-1.40395549952312	0.160332101345424	0.169757973019935
43	N0	N17	1.4031873119781	0.160560990129898	0.173806289263228
44	N7	N15	-1.39104746625154	0.164211033577624	0.146823975949335
45	N7	M0P0	-1.39000261091478	0.164528084522215	0.159138489911478
46	N14	N21	1.38495988096763	0.166064735126044	0.167930267931836
47	N15	N22	-1.36155943666571	0.173336963942875	0.149023526601403
48	N15	N19	1.3570971715067	0.174750337092186	0.194421834212015
49	N3	N16	1.34711172621385	0.177944252069071	0.16901436352562
50	N4	N14	1.3261588102508	0.184787099520252	0.163007989897349
51	N13	N19	-1.3259219486277	0.18486555200934	0.174815967534202
52	N11	N21	-1.31987463598216	0.186876877246742	0.217691121588958
53	N2	M0P1	1.31232316017952	0.189411120940373	0.163632069973123
54	N3	N8	1.30346025358078	0.192417677380269	0.188932288412256
55	N1	N11	-1.29776165684889	0.194369249205032	0.215191500523491
56	N2	N6	1.28919055415425	0.19733184808577	0.197947759591829
57	N17	M0P1	-1.28696122146753	0.198107804703411	0.203860614484643
58	N6	N18	-1.28536155816134	0.198665968024252	0.211756968563206
59	N7	N13	-1.26724908706514	0.205066238926917	0.226940809852142
60	N6	N12	-1.24557624270207	0.212920008705361	0.208959756437695
61	N21	M0P1	-1.23705925395734	0.216065085319884	0.208593666485712
62	N15	N17	1.23548834185649	0.216648812627986	0.212629635208161
63	N7	N12	-1.23480270707703	0.216903939642897	0.214569621944538
64	N11	M0P0	1.22553152299536	0.220375020474652	0.229214818983747
65	N1	N22	1.22475685332558	0.220666846034198	0.233230928184029
66	N0	N14	-1.22066127700517	0.222214294942344	0.235003483967065
67	N4	N22	1.1985373362392	0.230707896869897	0.235745690363682
68	N15	N16	-1.19728653735669	0.231194889945113	0.237690682750878
69	N8	M0P0	1.19531580032412	0.231963668800448	0.239371993397553
70	N0	N15	-1.18551629026725	0.235813377665633	0.236344226082454
71	N14	N22	1.17779223213815	0.23887944617885	0.248516218785159
72	N2	N13	1.17324916651724	0.240695900724878	0.246621574152373
73	N16	N18	-1.16485553319519	0.244077475483888	0.245601225537313
74	N6	N15	-1.13428044140181	0.256676930673319	0.251601724827205
75	N5	M0P0	1.13305898314293	0.257189484572656	0.238906261197901
76	N3	N15	-1.12802093893064	0.259311076239839	0.267380857824586
77	N2	N16	1.11567487391828	0.264561329505849	0.264979315763345
78	N8	M0P1	1.09981023010165	0.27141481409382	0.254997990299863
79	N9	N17	-1.08326547005346	0.278690607235846	0.270057254472687
80	N0	N7	1.08202620879552	0.279240882356701	0.286665862657701
81	N4	N15	1.07779983606945	0.281123092729958	0.285590933101595
82	N20	N22	-1.07324385133375	0.283161720378119	0.271233733099976
83	N2	N4	1.06016191089658	0.289070946024444	0.284222981535523
84	N9	N14	-1.0574826278791	0.290291378900732	0.289895389593131
85	N12	N21	1.05721894644564	0.290411674854416	0.274908848884443
86	N16	N17	-1.05071717729154	0.293388504397074	0.302455805617533
87	N5	N19	-1.0421950131599	0.297321274624654	0.318586190661361
88	N14	N15	-1.03857769566433	0.299001183476148	0.27090352495974
89	N3	M0P0	-1.02974152085086	0.303131358956755	0.306240101962359
90	N22	M0P0	-1.02962004161376	0.303188403404667	0.273715411312186
91	N0	N6	-1.02036043360088	0.307557551521123	0.309142639020791
92	N14	N20	1.01806129746947	0.308648826501057	0.288948144371046
93	N8	N18	-1.01051361141424	0.312249281510829	0.308045706797065
94	N3	N14	0.999722853171035	0.317444649286779	0.309714218927465
95	N10	N19	0.999490067023941	0.317557348486302	0.337484837055268
96	N8	N12	-0.998739069328641	0.31792110919947	0.318002868912154
97	N17	N22	0.986662437737634	0.323808150100631	0.31284413858953
98	N17	N19	0.967565019502371	0.333261654373311	0.36504122005305
99	N7	N8	-0.963516396423306	0.335288439820826	0.396241688802512
100	N17	N20	0.942286408575689	0.346046024762093	0.350921125853216
101	N15	N18	-0.910709478274241	0.362448468699039	0.354211451839814
102	N3	N19	-0.91000671227441	0.362818969901411	0.361922842177276
103	N0	N8	-0.908573353779683	0.363575377224143	0.382158349844399
104	N12	N13	-0.906844006295378	0.364489294940147	0.36703399370147
105	N3	N11	-0.905829013083558	0.36502636196965	0.369073585980863
106	N2	N20	-0.903422144299445	0.366301891649766	0.367553239982979
107	N16	N19	0.889361206213305	0.373808986965014	0.370109121693231
108	N9	N11	0.884680389156857	0.376329035558245	0.325255101065908
109	N5	N6	0.88216208573836	0.377689161739954	0.369756360118758
110	N1	N14	0.87176257326785	0.383337916193857	0.366286840021664
111	N20	M0P0	0.864542395504517	0.387290001312707	0.383928789277372
112	N3	N22	-0.852276205458495	0.394060809347085	0.383339300118102
113	N6	N14	-0.839820163865032	0.401009226031498	0.408151238612253
114	N8	N20	-0.838250395113165	0.401890089034847	0.40380694106437
115	N13	N18	0.835485320047266	0.403444508947619	0.421267331262358
116	N7	N21	0.831178887046936	0.405872580069564	0.398987638617484
117	N13	N14	0.83067345781444	0.40615812446728	0.407329740540215
118	N19	N21	0.817593573359937	0.413589298412713	0.4166812244574
119	N4	N7	0.813231849303404	0.416085142146352	0.392072471966415
120	N12	N18	0.804069212720663	0.421357003877744	0.449944313864569
121	N7	N11	-0.799055533352684	0.424258211884544	0.423343117712884
122	N2	N22	-0.773806985020099	0.439044941230371	0.462285923749608
123	N6	N21	-0.771292002225029	0.440533871829629	0.458839529270873
124	N12	N14	0.767396885174707	0.442845579917203	0.435843238990332
125	N7	N14	0.765760391767604	0.443818885662323	0.430782076738582
126	N5	N9	-0.764164428685882	0.444769261480824	0.445929441200797
127	N4	M0P0	0.741336131499393	0.458489659283801	0.449285758554774
128	N6	M0P1	0.73885244546818	0.459996601405825	0.416352331926829
129	N0	N4	0.738651694819849	0.46011852504232	0.408454363226042
130	N1	M0P0	-0.727000537097729	0.467225626723714	0.46156826871448
131	N5	N16	-0.726072196365289	0.467794512641637	0.469490588909916
132	N5	N17	-0.721985709329135	0.470303263691558	0.477561167025224
133	N14	M0P1	0.71926828865833	0.471975630730091	0.465484337491419
134	N11	N16	0.709624265533062	0.477937167927901	0.485821842014936
135	N7	N10	-0.705091903263287	0.480753044948965	0.484140259331846
136	N6	N10	0.70029128475926	0.483745413369465	0.495995927079688
137	N12	M0P1	0.696264758387436	0.486263039045408	0.500218234153629
138	N9	M0P1	-0.689577225350091	0.490460093590607	0.533822421943083
139	N5	N14	0.687741452356109	0.491615611181189	0.477350712880349
140	N9	M0P0	0.687665650375881	0.491663355733689	0.500289799167871
141	N17	N18	-0.687091518862937	0.492025058384438	0.496859459743301
142	N1	N9	0.67795271166839	0.497801676686818	0.486352282422887
143	N10	N20	-0.672549494490808	0.501233942085494	0.511342274795469
144	N7	M0P1	0.671997515427917	0.50158527804795	0.486122231328434
145	N2	N7	-0.670730540466464	0.502392203429231	0.562378834203633
146	N0	N5	-0.668179773533621	0.50401884493948	0.506546447396042
147	N4	N11	-0.664203851657627	0.506559848625958	0.520346867112356
148	N19	N22	-0.658731984014477	0.510067890581849	0.53633166511145
149	N8	N21	-0.658234047591414	0.510387749847686	0.514861704173813
150	N13	N22	-0.654199687792541	0.512983162700973	0.482188859613385
151	N3	N4	-0.642296586718887	0.520680630069122	0.492753033705143
152	N6	N9	0.640354976806564	0.521941846474502	0.519011263318424
153	N1	M0P1	0.634166922081062	0.525971892180889	0.503702734210279
154	N15	M0P1	0.629886244944272	0.528769012958218	0.507997378536158
155	N13	N21	-0.624644966911184	0.532204099951626	0.541793978469535
156	N3	N5	0.621211645820515	0.534460377945072	0.535210608566575
157	N5	N20	-0.620828318488536	0.534712588685945	0.526120184307798
158	N0	N13	-0.616649547351454	0.537465906002813	0.536254638253955
159	N19	N20	-0.613822540658218	0.539332600450777	0.54168462156576
160	N9	N20	-0.613401550109933	0.53961086134845	0.542518528578655
161	N4	N9	0.604657000845968	0.545406924260668	0.555090318875873
162	N13	N15	0.586648161093703	0.557440030022455	0.543090047970501
163	N6	N20	-0.585835122424332	0.557986318765966	0.568991547956142
164	N1	N21	-0.579790736193715	0.562055745477365	0.583954116543821
165	N0	N16	-0.57899638647391	0.562591611406657	0.546208597308395
166	N2	N17	-0.576828327756484	0.564055431231575	0.570885070727519
167	N15	N20	-0.573915869307171	0.566024733767732	0.519664622708506
168	N0	N12	0.569467804360978	0.569038713791316	0.533907036211717
169	N12	M0P0	-0.568945836473543	0.569392897774681	0.547247014689335
170	N21	N22	-0.565548492395906	0.571700750696264	0.578537537306799
171	N3	N20	-0.56392564314498	0.572804737501496	0.578616611436562
172	N14	N19	-0.562301935125354	0.573910320103086	0.57712239172159
173	N13	N17	0.55102828244807	0.581614286808976	0.59326820743614
174	N0	N3	0.550257861077761	0.582142522375652	0.572458352440256
175	N8	N17	-0.543369589374028	0.586875359552891	0.5789614436046
176	N3	N10	-0.539911007444771	0.58925840637607	0.591362495458607
177	N1	N17	-0.539599013076648	0.589473597384642	0.585075561919913
178	N5	N10	0.538636709447235	0.590137552539796	0.60500423935205
179	N5	N7	-0.528413801818155	0.59721216015544	0.600270956229916
180	N10	N18	0.519570985136546	0.603362625376295	0.597060721252166
181	N6	N17	0.513198309476165	0.607812608379749	0.621508280641563
182	N11	N18	0.51248126661136	0.608314227912689	0.655297770218789
183	N7	N19	0.505308296058755	0.613342316861796	0.600340346300931
184	N7	N20	-0.502807470227427	0.615099641021033	0.636199079265836
